iter	Passed	Remaining
0	272	2728168
1	369	1849480
2	471	1570374
3	560	1399491
4	649	1298016
5	729	1214550
6	768	1097070
7	859	1073238
8	910	1010207
9	1005	1004435
10	1238	1124384
11	1379	1148608
12	1574	1209622
13	1688	1204566
14	1781	1185563
15	1892	1181071
16	2034	1194681
17	2128	1180274
18	2211	1161577
19	2282	1138989
20	2366	1124481
21	2443	1108369
22	2526	1095967
23	2608	1084077
24	2684	1071252
25	2752	1056084
26	2836	1047542
27	2911	1036876
28	3032	1042619
29	3120	1037192
30	3201	1029380
31	3249	1012342
32	3307	999015
33	3382	991357
34	3460	985298
35	3548	982229
36	3637	979473
37	3725	976678
38	3794	969253
39	3897	970478
40	3981	967157
41	4102	972622
42	4190	970422
43	4263	964619
44	4348	962033
45	4431	958928
46	4514	955953
47	4590	951854
48	4706	955787
49	4795	954240
50	4888	953613
51	4986	953879
52	5084	954203
53	5167	951812
54	5247	948854
55	5314	943641
56	5404	942838
57	5487	940580
58	5596	942969
59	5662	938135
60	5733	934103
61	5810	931425
62	5881	927697
63	5956	924736
64	6037	922814
65	6097	917828
66	6187	917280
67	6268	915615
68	6341	912764
69	6435	912851
70	6519	911743
71	6597	909729
72	6670	907095
73	6733	903142
74	6815	901860
75	6879	898381
76	6948	895477
77	6994	889733
78	7078	888960
79	7140	885463
80	7214	883510
81	7280	880606
82	7344	877485
83	7428	876920
84	7505	875441
85	7578	873592
86	7645	871179
87	7720	869657
88	7797	868331
89	7860	865528
90	7937	864271
91	8009	862630
92	8101	862979
93	8216	865872
94	8294	864802
95	8354	861931
96	8462	863983
97	8549	863897
98	8620	862090
99	8689	860254
100	8751	857691
101	8817	855667
102	8880	853338
103	8952	851889
104	9015	849580
105	9076	847193
106	9204	851055
107	9290	850974
108	9428	855554
109	9528	856742
110	9612	856343
111	9680	854668
112	9770	854894
113	9855	854665
114	9923	853003
115	10012	853096
116	10089	852287
117	10162	851054
118	10229	849419
119	10284	846752
120	10370	846664
121	10450	846136
122	10536	846083
123	10634	846986
124	10715	846547
125	10797	846132
126	10863	844539
127	10983	847129
128	11088	848519
129	11179	848774
130	11275	849440
131	11383	851005
132	11484	852045
133	11604	854437
134	11727	856965
135	11856	859934
136	11978	862360
137	12073	862825
138	12173	863622
139	12260	863510
140	12493	873595
141	12677	880107
142	12781	881034
143	12861	880292
144	12960	880847
145	13092	883620
146	13227	886612
147	13317	886532
148	13393	885526
149	13501	886591
150	13600	887120
151	13687	886775
152	13821	889531
